Food Name,Food Code,Description,Group,Group (sub-class),Comments,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Nitrogen (g),NSP (g),Fibre (g),Fat (g),Starch (g),Water (g),Total Phytosterols (mg),Description Footnote,Citric acid (g),Malic acid (g),Alcohol (g),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),Carotene (µg),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),Cholesterol (mg),Oligosaccharide (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Retinol Equivalent (µg),Retinol (µg),5-mehtyl folate (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),Vitamin D (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Vitamin E (mg),Vitamin K1 (µg)
"Steak and kidney/Beef pie, individual, chilled/frozen, baked",19-069,"16 samples including minced beef, minced beef and onion,  minced beef and vegetable, steak, and steak and kidney pies. 12.5-30% meat",Meat and meat products ,MI,"As MPD 19-069, vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000. Additional  fatty acid data is available for steak and kidney pies in 19-290 (obselete).",310,8.8,25.55,1.45,1.41,0.5,0,19.4,22.9,41.4,0,,0,0,0,0,0,0,0,0,20,0,8.4,0,0,0,0,0,0,0,7.8,0,0,0,1.9,0,0,0,0,0,1.2,460,140,60,15,95,1.3,0.07,1.4,690,0.26,0,0,0,0,0,0,0,0,0,0,0,39,0,0.2,0,0.1,0.1,1.1,0,4,2,0,0,8,5,0,0.4,0.15,1.6,1.6,0,0.06,2,8,0.61,3,0,0.07,0.3,0.7,0,0,0,0,0,0,0,1.04,3.82
"Pork pie, individual",19-063,8 samples of 8cm pies including Melton Mowbray. 28-39% meat,Meat and meat products ,MI,As MPD 19-063,363,10.8,22.65,1,1.73,0.9,0,25.7,20.6,37.5,0,,0,0,0,0,0,0,0,0,0,0,9.7,12.4,3.04,1,0.24,44.2,10.83,0,11,13.4,3.31,0,3.2,40.4,9.89,0.2,0.05,1.7,0.42,650,160,68,17,100,1.1,0.08,1,760,0.23,6,7,0,0,0,0,0,0,0,0,0,45,0,0.2,0,0.1,0.1,0.6,0,0,0,0,0,0,0,0,0.19,0.06,2.3,1,0,0.15,0,5,0.74,2,4,0,0,0,0,0,0,0,0,0,0,0.21,0
Liver sausage,19-106,"10 samples, 4 brands",Meat and meat products ,MI,As MPD 19-106,226,13.4,5.75,1,2.14,0.7,0,16.7,4.5,58.4,0,,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,5.7,0,0,0,2.3,0,0,0,0,0,0,810,180,20,14,260,6,0.91,2.6,1150,0.19,0,0,0,0,0,0,0,0,0,0,0,115,0,1,0,0,0,0,0,0,0,0,0,2600,2600,0,0.36,1.16,3.7,2.4,0,0.25,10,36,1.5,7,0,0,0,0.6,0,0,0,0,0,0,0,0.1,0
"Ham, canned",19-024,"10 samples, 8 brands",Meat and meat products ,MI,As MPG and FA supplements 19-024,107,16.5,0.1,0.1,2.64,0,0,4.5,0,74,0,,0,0,0,0,0,0,0,0,0,0,1.6,9.5,0.4,0,0,0,2.05,0,2,10.4,0.44,0,0.4,39.2,1.64,0,0,0,0,1470,200,32,18,270,1.2,0.1,2,1770,0.02,8,11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.24,2.5,3,0,0.21,0,2,0.6,1,19,0,0,0,0,0,0,0,0,0,0,0.08,0
"Chicken pie, individual, chilled/frozen, baked",19-055,"12 samples including chicken, chicken and ham, chicken and mushroom and chicken and vegetable pies. 10.5-25% meat",Meat and meat products ,MI,As MPD 19-055. Phytosterols from 19-288,288,9,23.55,1.6,1.44,0.8,0,17.7,20.9,45.6,29.3,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7.4,0,0,0,2.4,0,0,0,0,0,1.2,430,140,60,15,90,0.8,0.06,0.6,710,0.23,0,0,0.3,0,17.6,1.1,8.6,0.6,0,0,1.1,32,0,0.1,0,0.1,0.2,0.9,0.3,0,0,0,0,0,0,0,0.41,0.09,1.5,1.6,0,0.12,0,8,0.64,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef sausages, chilled, grilled",19-077,6 samples of thick sausages,Meat and meat products ,MI,As MPD and FA 19-077,278,13.3,12.55,1.35,2.13,0.7,0,19.5,10.6,48,0,,0,0,0,0,0,0,0,0,0,0,7.9,6.9,1.26,0.8,0.15,45.8,8.35,0,8.8,7.5,1.37,0,1.4,42.2,7.69,1.2,0.22,2.1,0.38,1200,190,80,15,200,1.4,0.11,2,1640,0.21,4,6,0,0,0,0,0,0,0,0,0,42,0,0.3,0,0,0.1,0.9,0.1,0,0,0,0,0,0,0,0,0.11,2.5,1.8,0,0.11,1,7,0.64,3,0,0,0,0,0,0,0,0,0,0,0,0.67,0
"Pork sausages, chilled, fried",19-079,16 samples,Meat and meat products ,MI,As MPD and FA 19-079,308,13.9,9.55,1.55,2.22,0.7,0,23.9,7.6,46.4,0,,0,0,0,0,0,0,0,0,0,0,8.5,13.9,3.09,1.5,0.33,45.7,10.17,0,10.3,15.4,3.43,0,3.5,38,8.46,0.1,0.02,0.6,0.13,1070,180,110,15,220,1.1,0.12,1.1,1430,0.19,6,8,0,0,0,0,0,0,0,0,0,53,0,0.4,0,0,0.2,0.9,0.1,0,0,0,0,0,0,0,0.01,0.13,3.1,2,0,0.09,1,3,0.85,5,5,0,0,1.1,0,0,0,0,0,0,0,0.86,0
"Pork sausages, chilled, grilled",19-080,16 samples,Meat and meat products ,MI,As MPD 19-080,294,14.5,9.4,1.45,2.32,0.7,0,22.1,7.5,45.9,0,,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9.6,0,0,0,3,0,0,0,0,0,0.1,1080,190,110,15,220,1.1,0.11,1.4,1660,0.2,6,8,0,0,0,0,0,0,0,0,0,53,0,0.4,0,0,0.2,0.8,0.1,0,0,0,0,0,0,0,0,0.13,3.1,2,0,0.12,1,4,0.93,5,5,0,0,1.1,0,0,0,0,0,0,0,0.92,0
"Pork sausages, reduced fat, chilled/frozen, grilled",19-086,"7 samples, 5 brands",Meat and meat products ,MI,As MPD 19-086,230,16.2,10.35,0.9,2.59,1.5,0,13.8,9,50.1,0,,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,5.9,0,0,0,2.1,0,0,0,0,0,0.1,1180,260,130,19,230,1.3,0.08,1.7,1580,0.24,7,9,0,0,0,0,0,0,0,0,0,55,0,0.7,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.13,2.8,2,0,0.11,1,32,1.04,3,37,0,0,0,0,0,0,0,0,0,0,0.3,0
"Sweetbread, lamb, fried",18-422,3 samples,Meat and meat products ,MG,As MPG 18-422,217,28.7,0,0,4.59,0,0,11.4,0,57.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,400,27,34,480,1.8,0.4,3.6,52,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.29,2.3,4.1,0,0.04,3,9,0.8,4,23,0,0,0,0,0,0,0,0,0,0,0,0
"Sweetbread, lamb, raw",18-421,"Thymus and pancreas, 12 samples",Meat and meat products ,MG,As MPG 18-421,131,15.3,0,0,2.44,0,0,7.8,0,75.5,0,,0,0,0,0,0,0,0,0,0,51.4,3,0,0,0,0,0,0,41,2.4,0,0,5.6,0.3,0,0,0,0,0,0,75,420,8,21,400,1.7,0.2,1.9,120,0.04,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.25,3.7,3.3,0,0.03,6,13,1,3,18,0,0,0,0,0,0,0,0,0,0,0.44,0
"Oxtail, stewed",18-420,"12 samples, meat only. Salt added",Meat and meat products ,MG,As MPG 18-420,243,30.5,0,0,4.88,0,0,13.4,0,53.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,170,14,18,140,3.8,0.27,8.8,270,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.28,3.3,6.5,0,0.14,2,9,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0.45,0
"Liver, pig, stewed",18-418,"18 samples, coated in seasoned flour",Meat and meat products ,MG,As MPG 18-418,189,25.6,3.45,0,4.09,0,0,8.1,3.3,62.1,0,,0,0,0,0,0,0,0,0,0,41.6,2.5,0,0,0,0,0,0,20.9,1.3,0,0,36.9,2.2,0,0,0,0,0,0,130,250,11,22,390,17,2.5,8.2,150,0.4,50,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,22600,22600,0,0.21,3.1,11.5,5.5,0,0.64,26,110,4.6,34,9,0,0,1.1,0,0,0,0,0,0,0,0.16,0
"Tongue, lamb, raw",18-423,20 samples,Meat and meat products ,MG,As MPG 18-423,193,15.3,0,0,2.45,0,0,14.6,0,67.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,250,6,33,170,2.2,0.64,2.7,550,0.05,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.49,4.9,3.3,0,0.17,7,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0.21,0
"Kidney, lamb, fried",18-493,"10 samples, skin and core removed",Meat and meat products ,MG,"Data as MPG 18-403 with vitamin D from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997, Food Surveillance Information Sheet No.101",188,23.7,0,0,3.79,0,0,10.3,0,62.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,280,14,21,350,11.2,0.58,3.6,410,0.13,209,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,110,110,0,0.52,3.1,9.1,5.3,0,0.48,54,70,4.6,73,5,0.05,0,0.6,0,0,0,0,0,0,0,0.41,0
"Tongue, ox, pickled, raw",18-424,"6 samples, fat and skin removed",Meat and meat products ,MG,As MPG 18-424,220,15.7,0,0,2.51,0,0,17.5,0,62.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,300,7,19,150,4.9,0.37,3.5,1750,0.01,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.38,6.4,3.4,0,0.18,5,6,0.8,2,3,0,0,0,0,0,0,0,0,0,0,0.28,0
"Tongue, ox, pickled, stewed",18-425,Fat and skin removed,Meat and meat products ,MG,As MPG 18-425,293,19.5,0,0,3.12,0,0,23.9,0,48.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,31,16,230,3,0,0,1450,0.01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.29,4.1,4.2,0,0.09,4,5,0.5,3,2,0,0,0,0,0,0,0,0,0,0,0.35,0
"Tongue, sheep, stewed",18-427,Fat and skin removed,Meat and meat products ,MG,As MPG 18-427,289,18.2,0,0,2.91,0,0,24,0,56.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,110,11,13,200,3.4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.45,3.7,3.9,0,0.1,7,4,0.8,2,6,0,0,0,0,0,0,0,0,0,0,0.32,0
"Tripe, dressed, raw",18-428,6 samples,Meat and meat products ,MG,As MPG 18-428,33,7.1,0,0,1.14,0,0,0.5,0,92.1,0,,0,0,0,0,0,0,0,0,0,48.4,0.2,0,0,0,0,0,0,43.8,0.2,0,0,6.1,0,0,0,0,0,4.8,0,50,12,52,3,16,0.2,0.04,0.7,8,0.02,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0.08,0
"Pork, trotters and tails, boiled",18-429,23% trotters and 77% pig tails. Salt added,Meat and meat products ,MG,"As MPG 18-429, pork added to name for IDS",280,19.8,0,0,3.17,0,0,22.3,0,53.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,30,130,8,110,0.7,0.07,2.4,2490,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.2,0.9,3.7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heart, lamb, roasted",18-492,"10 samples, fat and valves removed",Meat and meat products ,MG,"Data as MPG Supplement 18-397 with vitamin D data from LGC ' Determination of 25-OH vitamin D in selected foodstuffs' 1997, Food Surveillance Information Sheet No.101",226,25.3,0,0,4.05,0,0,13.9,0,58.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,210,7,21,240,6,0.66,2.8,100,0.03,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1.37,3.8,5.6,9.4,0.26,6,2,3.8,8,2,0,0,0.1,0,0,0,0,0,0,0,0,0
"Liver, lamb, raw",18-413,10 samples,Meat and meat products ,MG,As MPD 18-413 with fatty acid fractions from 18-442,137,20.3,0,0,3.25,0,0,6.2,0,69.5,0,,0,0,0,0,0,0,0,0,85,38.1,1.7,0,0.42,0,0.55,0,1.87,39,1.8,0,0.97,20,0.9,0,1.75,0,0,0,0,73,290,6,19,390,7.5,9.67,4,120,0.32,42,5,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,16300,1330,0,0,17300,17300,0,0.39,4.64,16.4,4.3,0,0.47,54,205,8.2,41,19,0,0,0.5,0,0,0,0,0,0,0,0.77,0
"Heart, pig, raw",18-400,12 samples,Meat and meat products ,MG,As MPG 18-400. Additional fatty acid data is available from a sample with slightly different fat content and profile in FA 18-439,97,17.1,0,0,2.74,0,0,3.2,0,77.9,0,,0,0,0,0,0,0,0,0,0,47.9,1.2,16.2,0.49,0.8,0.02,34.5,1.03,35.5,0.9,17,0.51,17.1,0.4,47,1.41,0.9,0.03,1.1,0.03,80,300,6,20,220,4.8,0.37,1.8,110,0.02,5,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.9,6.9,3.7,0,0.29,8,2,2.5,4,5,0,0,0,0,0,0,0,0,0,0,0.37,0
"Tripe, dressed, stewed",50-502,"18 samples; lime treated before purchase, stewed in milk",Meat and meat products ,MG,"As MW 5-502  (note that full fatty acid data is available in obsoleted FA 18-457, sampling and fat values are not comparable)",100,14.8,0,0,2.37,0,0,4.5,0,78.5,0,,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,1.3,0,0,0,0.1,0,0,0,0,0,0,73,100,150,15,90,0.7,0.14,2.3,58,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,3.2,0,0.02,0,1,0.2,2,3,0,0,0,0,0,0,0,0,0,0,0.09,0
"Heart, lamb, raw",18-396,12 samples,Meat and meat products ,MG,As MPG 18-396 with fats and fatty acids from FA 18-438,129,17.1,0,0,2.73,0,0,6.8,0,75.6,0,,0,0,0,0,0,0,0,0,0,48.8,2.1,8.5,0.46,2.4,0.13,29.2,1.57,37.6,1.7,9.2,0.49,12.1,0.5,52.9,2.84,1,0.05,8.5,0.46,140,280,7,21,210,3.6,0.52,2,140,0.02,2,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.9,6.9,3.6,0,0.29,8,2,2.5,4,7,0,0,0,0,0,0,0,0,0,0,0.37,0
"Heart, ox, stewed",18-399,"10 samples, fat and valves removed",Meat and meat products ,MG,As MPG 18-399,157,27.8,0,0,4.45,0,0,5.1,0,64.3,0,,0,0,0,0,0,0,0,0,0,62,2.5,0,0,0,0,0,0,33.5,1.3,0,0,3.7,0.1,0,0,0,0,0,0,65,200,9,25,250,6.2,0.78,3.3,83,0.06,3,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,1.2,4.9,6.7,0,0.05,13,5,1.7,5,2,0,0,0,0,0,0,0,0,0,0,0.72,0
"Kidney, lamb, raw",18-402,10 samples,Meat and meat products ,MG,As MPG 18-402,91,17,0,0,2.72,0,0,2.6,0,78.6,0,,0,0,0,0,0,0,0,0,0,46.6,0.9,0,0,0,0,0,0,29.8,0.6,0,0,23.6,0.5,0,0,0,0,3.7,0,150,260,8,18,270,5.5,0.62,2.5,230,0.16,150,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,85,15,0,0,96,96,0,0.34,2.38,9.2,3.5,0,0.59,17,8,4.3,37,9,0,0,0,0,0,0,0,0,0,0,0.37,0
"Kidney, ox, raw",18-404,12 samples,Meat and meat products ,MG,As MPG 18-404,88,17.2,0,0,2.75,0,0,2.1,0,78.8,0,,0,0,0,0,0,0,0,0,410,48.8,0.8,0,0,0,0,0,0,28.1,0.4,0,0,23.3,0.4,0,0,0,0,2.5,0,170,240,11,16,240,7.2,0.48,1.9,300,0.11,150,15,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,90,20,0,0,170,105,0,0.5,2.53,6,3.4,0,0.37,15,63,3.1,24,8,0,0,0,0,0,0,0,0,0,0,0.55,0
"Kidney, ox, stewed",18-405,"10 samples, skin and core removed",Meat and meat products ,MG,As MPG 18-405,138,24.5,0,0,3.92,0,0,4.4,0,69.2,0,,0,0,0,0,0,0,0,0,0,42.8,1.4,0,0,0,0,0,0,30.2,1,0,0,27.1,0.9,0,0,0,0,2.6,0.1,150,210,17,19,290,9,0.63,3,190,0.14,210,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0.24,3.29,6.2,5.5,0,0.57,38,130,3.1,79,5,0,0,0,0,0,0,0,0,0,0,0.42,0
"Kidney, pig, raw",18-406,12 samples,Meat and meat products ,MG,As MPG 18-406 with fat and fatty acids from FA 18-440,86,15.5,0,0,2.48,0,0,2.7,0,80,0,,0,0,0,0,0,0,0,0,0,43.5,0.9,0,0.4,0,0.01,0,0.71,34.8,0.7,0,0.41,19.5,0.4,0,0.9,0,0,0,0,200,220,10,17,250,6.4,0.43,2.4,330,0.11,150,7,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,100,20,0,0,115,115,0,0.56,2.58,7.6,3.5,0,0.39,40,39,3,32,7,0,0,0,0,0,0,0,0,0,0,0.44,0
"Kidney, pig, stewed",18-408,"20 samples, core removed. Salt added",Meat and meat products ,MG,As MPG 18-408,153,24.4,0,0,3.91,0,0,6.1,0,66.3,0,,0,0,0,0,0,0,0,0,0,43.5,2,0,0,0,0,0,0,34.8,1.6,0,0,19.5,0.9,0,0,0,0,0,0,370,190,13,21,330,6.4,0.84,4.7,480,0.18,250,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0.19,2.1,6.1,5.2,0,0.28,15,43,2.4,53,11,0,0,0,0,0,0,0,0,0,0,0.36,0
"Liver, chicken, raw",18-411,10 samples,Meat and meat products ,MG,Data as MPG 18-411 with fatty acids as FA 18-441,92,17.7,0,0,2.83,0,0,2.3,0,75.8,0,,0,0,0,0,0,0,0,0,0,42.1,0.7,0,0.36,0,0.11,0,0.51,29.5,0.5,22.5,0.4,22.5,0.4,0,0.72,0,0,0,0,76,260,8,19,280,9.2,0.5,3.7,130,0.31,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,9275,565,0,0,9700,9700,0,0.48,2.16,10.6,4.1,0,0.82,35,995,6.1,210,28,0,0,0.2,0,0,0,0,0,0,0,0.6,0
"Heart, ox, raw",18-398,10 samples,Meat and meat products ,MG,As MPG 18-398,104,18.2,0,0,2.91,0,0,3.5,0,76.4,0,,0,0,0,0,0,0,0,0,0,62,1.7,0,0,0,0,0,0,33.5,0.9,0,0,3.7,0.1,0,0,0,0,0,0,88,290,5,22,210,5,0.37,1.8,44,0.04,3,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.8,6.3,4,0,0.23,13,4,2.4,2,7,0,0,0,0,0,0,0,0,0,0,0.45,0
"Partridge, roasted, meat only",18-381,Meat from dressed carcase,Meat and meat products ,MCI,As MPG 18-381,212,36.7,0,0,5.87,0,0,7.2,0,54.5,0,,0,0,0,0,0,0,0,0,0,27.6,1.9,0,0,0,0,0,0,49.3,3.3,0,0,25.1,1.7,0,0,0,0,0,0,100,410,46,36,310,7.7,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partridge, roasted, meat only, weighed with bone",18-382,"Calculated from roast, meat only 18-381",Meat and meat products ,MCI,As MPG 18-382,127,22,0,0,3.52,0,0,4.3,0,32.7,0,,0,0,0,0,0,0,0,0,0,27.6,1.1,0,0,0,0,0,0,49.3,2,0,0,25.1,1,0,0,0,0,0,0,60,240,28,22,190,4.6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pheasant, roasted, meat only, weighed with bone",18-384,Calculated from 18-383,Meat and meat products ,MCK,As MPG 18-384,114,14.5,0,0,2.32,0,0,6.2,0,30.9,0,,0,0,0,0,0,0,0,0,0,36.2,2.1,0,0,0,0,0,0,49.6,2.9,0,0,14,0.8,0,0,0,0,0.7,0,34,190,15,13,110,1.1,0.05,0.7,88,0.01,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.15,4.8,3.1,0,0.3,1,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pheasant, roasted, meat only",18-383,10 samples from dressed carcase,Meat and meat products ,MCK,As MPG 18-383,220,27.9,0,0,4.46,0,0,12,0,59.4,0,,0,0,0,0,0,0,0,0,0,36.2,4.1,0,0,0,0,0,0,49.6,5.6,0,0,14,1.6,0,0,0,0,0.7,0.1,66,360,28,26,220,2.2,0.1,1.3,170,0.02,14,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.29,9.2,6,0,0.57,3,20,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pigeon, roasted, meat only, weighed with bone",18-386,Calculated from 18-385,Meat and meat products ,MCM,As MPG 18-386,88,13.8,0,0,2.18,0,0,3.7,0,29.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,190,15,14,150,3.4,0.15,0.8,41,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.55,3.3,2.3,0,0.38,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pigeon, roasted, meat only",18-385,"10 samples, meat from dressed carcase",Meat and meat products ,MCM,As MPG 18-385,187,29,0,0,4.64,0,0,7.9,0,62.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,400,32,30,310,7.2,0.33,1.7,87,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,1.17,7,5.2,0,0.82,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pork, loin chops, grilled, lean and fat",18-252,Calculated from 80% lean and 20% fat,Meat and meat products ,MAG,As MPG and FA 18-252,257,29,0,0,4.64,0,0,15.7,0,54.6,0.9,,0,0,0,0,0,0,0,0,0,38,5.6,15.21,2.22,2.08,0.3,43.64,6.38,44.2,6.5,17.24,2.52,17.3,2.5,37.83,5.53,0.22,0.03,0.59,0.09,70,390,14,26,230,0.7,0.08,2.2,73,0.02,17,3,0,0,0.2,0.1,0.6,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.17,8.2,5.3,0,0.49,1,6,1.2,5,0,0,0,1.1,0,0,0,0,0,0,0,0.02,0
"Tomatoes, grilled",13-467,Calcd. from raw using water loss of 13%,Vegetables ,DG,"Values calculated from raw tomatoes with new LGC folate and carotenoid data. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",20,0.8,3.5,3.5,0.13,1.5,0,0.3,0,92.1,0,,0,0,0,0,1790,0,0,0,646,0,1.1,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,10,286,20,8,27,0.6,0.01,0.1,63,0.11,0,2,0,20,0,0,0,0,0,0,0,0,0,1.6,0,1.7,0.1,0,0,0,0,0,0,108,0,0,0.11,0.01,1.1,0.1,1.3,0.16,0,25,0.29,1.7,19,0,0,0,0,0,0,0,0,0,0,1.4,12.5
